model,perturbation,level,mean_accuracy,std_accuracy
ecpool,feat_noise,0.36666666666666664,0.42368421052631566,0.059371127224623566
ecpool,feat_noise,0.4,0.4328947368421052,0.05294315668087028
ecpool,feat_noise,0.43333333333333335,0.41578947368421054,0.05619514869490164
ecpool,feat_noise,0.4666666666666667,0.4276315789473684,0.06492857784987015
ecpool,feat_noise,0.5,0.43684210526315786,0.05907880084379907
mincut,feat_noise,0.0,0.7631578947368423,1.1102230246251565e-16
mincut,feat_noise,0.03333333333333333,0.7776315789473685,0.019471906035458873
mincut,feat_noise,0.06666666666666667,0.7592105263157894,0.04014775342734832
mincut,feat_noise,0.1,0.7513157894736842,0.04440667639654265
mincut,feat_noise,0.13333333333333333,0.7578947368421052,0.04042708288351899
mincut,feat_noise,0.16666666666666666,0.7210526315789474,0.06781104593013224
mincut,feat_noise,0.2,0.7131578947368422,0.05123137456297839
mincut,feat_noise,0.23333333333333334,0.7105263157894737,0.055200465693165876
mincut,feat_noise,0.26666666666666666,0.648684210526316,0.05474380016503872
mincut,feat_noise,0.3,0.656578947368421,0.07277398320539386
mincut,feat_noise,0.3333333333333333,0.6605263157894736,0.06547292265591961
mincut,feat_noise,0.36666666666666664,0.6460526315789474,0.08667248187039187
mincut,feat_noise,0.4,0.6302631578947369,0.09171911535707077
mincut,feat_noise,0.43333333333333335,0.6539473684210526,0.0702562582853289
mincut,feat_noise,0.4666666666666667,0.6657894736842106,0.08200229710990989
mincut,feat_noise,0.5,0.6342105263157894,0.06907581446529837
topk,feat_noise,0.0,0.7894736842105262,1.1102230246251565e-16
topk,feat_noise,0.03333333333333333,0.794736842105263,0.017848236797698053
topk,feat_noise,0.06666666666666667,0.7881578947368421,0.02818984906003755
topk,feat_noise,0.1,0.7881578947368422,0.04886169638849248
topk,feat_noise,0.13333333333333333,0.7631578947368421,0.03328713326493031
topk,feat_noise,0.16666666666666666,0.7065789473684211,0.057217933960944475
topk,feat_noise,0.2,0.6526315789473686,0.055575558110375976
topk,feat_noise,0.23333333333333334,0.5736842105263158,0.0713929471907923
topk,feat_noise,0.26666666666666666,0.5710526315789475,0.110745396907899
topk,feat_noise,0.3,0.5,0.07581505416256808
topk,feat_noise,0.3333333333333333,0.4605263157894736,0.049582746530044144
topk,feat_noise,0.36666666666666664,0.4197368421052632,0.05161854012087639
topk,feat_noise,0.4,0.4223684210526316,0.05733883834079192
